input1	input2	input3	label
octopus	smiled	The octopus smiled.	The smiled octopus.
When	on	When she finished, she hung the collage on the wall.	on she finished, she hung the collage When the wall.
feeling	loved	He squirmed and giggled, feeling so spoiled and loved.	He squirmed and giggled, loved so spoiled and feeling.
car	come	They waited and waited for the car to come.	They waited and waited for the come to car.
He	a	He found a shiny medal!	a found He shiny medal!
to	wanted	They wanted to surf, but they couldn't.	They to wanted surf, but they couldn't.
and	go	She wanted to go there and smell them.	She wanted to and there go smell them.
time	with	This time he was going with his mum and dad.	This with he was going time his mum and dad.
In	there	In this town, there was an old house.	there this town, In was an old house.
hit	She	She hit the rock and fell off the bike.	hit She the rock and fell off the bike.
he	couldn't	But he couldn't make it work.	But couldn't he make it work.
She	thinks	She thinks bathing is boring and cold and wet.	thinks She bathing is boring and cold and wet.
voice	door	They hear their dad's voice outside the door.	They hear their dad's door outside the voice.
want	do	But it does not do what they want.	But it does not want what they do.
Cow	started	The Cow started counting.	The started Cow counting.
think	I	I think you'll love it, Lily.	think I you'll love it, Lily.
away	fluttered	Suddenly the butterfly fluttered away.	Suddenly the butterfly away fluttered.
in	very	Everyone in the family was very excited.	Everyone very the family was in excited.
treasure	opened	When she opened it, she saw a wonderful treasure inside!	When she treasure it, she saw a wonderful opened inside!
wanted	He	He helped Lila get what she wanted.	wanted helped Lila get what she He.
it	and	He tasted the soup and it was delicious!	He tasted the soup it and was delicious!
a	her	The old man smiled and gave her a big hug.	The old man smiled and gave a her big hug.
She	it	She finally caught it!	it finally caught She!
have	will	You will have your own rooms and a big yard.	You have will your own rooms and a big yard.
teamwork	were	They were excited and proud of their teamwork.	They teamwork excited and proud of their were.
He	his	He put on his hat and coat and ran outside.	his put on He hat and coat and ran outside.
are	good	They are good friends.	They good are friends.
Inside	box	Inside the box, Lily found a beautiful dress.	box the Inside, Lily found a beautiful dress.
have	fun	They have fun.	They fun have.
help	He	He wanted to help out.	help wanted to He out.
She	did	She wishes she did not have that idea.	did wishes she She not have that idea.
love	I	I know you love your castle.	love know you I your castle.
not	see	She hoped her dad did not see her.	She hoped her dad did see not her.
the	in	It finds another child in the park.	It finds another child the in park.
him	she	She smiled when she saw him.	She smiled when him saw she.
little	a	Once there was a little boy named Robby.	Once there was little a boy named Robby.
upon	girl	Once upon a time, there was a girl.	Once girl a time, there was a upon.
She	news	She went to tell the news to her mom.	news went to tell the She to her mom.
They	happy	They were very happy with their work.	happy were very They with their work.
cried	Bertha	Bertha was sad and cried.	cried was sad and Bertha.
not	You	You should not be here.	not should You be here.
gone	came	But when she came back, the horse was gone!	But when she gone back, the horse was came!
hand	a	She saw a big red spot on his hand.	She saw hand big red spot on his a.
the	worked	Every day they worked very hard in the fields.	Every day they the very hard in worked fields.
was	His	His name was Quick.	was name His Quick.
and	proud	She was proud of Lily for being smart and polite.	She was and of Lily for being smart proud polite.
was	called	It was called a sunflower.	It called was a sunflower.
small	looked	So they looked inside the small theater.	So they small inside the looked theater.
