input1	input2	label
t	the	he
a	and	nd
o	for	fr
a	that	tht
s	this	thi
w	with	ith
o	you	yu
o	not	nt
r	are	ae
f	from	rom
o	your	yur
l	all	a
a	have	hve
n	new	ew
r	more	moe
w	was	as
w	will	ill
o	home	hme
a	can	cn
t	about	abou
e	page	pag
s	has	ha
e	search	sarch
r	free	fee
t	but	bu
u	our	or
o	one	ne
e	other	othr
a	information	informtion
t	time	ime
e	they	thy
e	site	sit
m	may	ay
t	what	wha
h	which	wic
h	their	teir
n	news	ews
u	out	ot
e	use	us
a	any	ny
h	there	tere
e	see	s
l	only	ony
h	his	is
w	when	hen
c	contact	ontat
h	here	ere
n	business	busiess
h	who	wo
b	web	we
a	also	lso
w	now	no
e	help	hlp
e	get	gt
v	view	iew
e	online	onlin
s	first	firt
b	been	een
d	would	woul
o	how	hw
e	were	wr
i	services	servces
e	some	som
s	these	thee
l	click	cick
s	its	it
i	like	lke
e	service	srvic
h	than	tan
i	find	fnd
r	price	pice
d	date	ate
a	back	bck
o	top	tp
o	people	peple
h	had	ad
t	list	lis
e	name	nam
s	just	jut
o	over	ver
a	state	stte
a	year	yer
a	day	dy
n	into	ito
i	email	emal
w	two	to
l	health	heath
r	world	wold
t	next	nex
d	used	use
k	work	wor
l	last	ast
t	most	mos
s	products	product
s	music	muic
y	buy	bu
t	data	daa
k	make	mae
h	them	tem
h	should	sould
o	product	prduct
t	system	sysem
p	post	ost
e	her	hr
i	city	cty
a	add	dd
p	policy	olicy
r	number	numbe
s	such	uch
p	please	lease
v	available	aailable
o	copyright	cpyright
o	support	supprt
m	message	essage
r	after	afte
e	best	bst
f	software	sotware
h	then	ten
n	jan	ja
g	good	ood
o	video	vide
l	well	we
h	where	were
n	info	ifo
t	rights	righs
b	public	pulic
b	books	ooks
g	high	hih
l	school	schoo
t	through	hrough
e	each	ach
k	links	lins
s	she	he
w	review	revie
r	years	yeas
o	order	rder
r	very	vey
p	privacy	rivacy
k	book	boo
t	items	iems
y	company	compan
d	read	rea
p	group	grou
e	sex	sx
n	need	eed
m	many	any
u	user	ser
i	said	sad
s	does	doe
s	set	et
d	under	uner
g	general	eneral
e	research	rsarch
s	university	univerity
j	january	anuary
l	mail	mai
u	full	fll
m	map	ap
e	reviews	rviws
p	program	rogram
f	life	lie
k	know	now
a	games	gmes
w	way	ay
d	days	ays
g	management	manaement
p	part	art
l	could	coud
r	great	geat
n	united	uited
o	hotel	htel
l	real	rea
t	item	iem
r	international	intenational
r	center	cente
y	ebay	eba
u	must	mst
s	store	tore
a	travel	trvel
n	comments	commets
a	made	mde
d	development	evelopment
r	report	epot
f	off	o
r	member	membe
s	details	detail
i	line	lne
s	terms	term
r	before	befoe
o	hotels	htels
d	did	i
e	send	snd
t	right	righ
p	type	tye
b	because	ecause
o	local	lcal
s	those	thoe
s	using	uing
r	results	esults
c	office	offie
a	education	eduction
i	national	natonal
r	car	ca
e	design	dsign
k	take	tae
e	posted	postd
n	internet	iteret
r	address	addess
y	community	communit
h	within	witin
e	states	stats
e	area	ara
n	want	wat
p	phone	hone
v	dvd	dd
g	shipping	shippin
e	reserved	rsrvd
t	subject	subjec
w	between	beteen
o	forum	frum
m	family	faily
g	long	lon
s	based	baed
e	code	cod
h	show	sow
v	even	een
b	black	lack
e	check	chck
l	special	specia
s	prices	price
b	website	wesite
d	index	inex
e	being	bing
n	women	wome
u	much	mch
i	sign	sgn
l	file	fie
i	link	lnk
e	open	opn
y	today	toda
c	technology	tehnology
t	south	souh
e	case	cas
p	project	roject
s	same	ame
s	pages	page
o	version	versin
n	section	sectio
o	own	wn
d	found	foun
s	sports	port
o	house	huse
l	related	reated
r	security	secuity
o	both	bth
u	county	conty
n	american	america
p	photo	hoto
e	game	gam
r	members	membes
w	power	poer
w	while	hile
a	care	cre
n	network	etwork
n	down	dow
o	computer	cmputer
t	systems	sysems
t	three	hree
a	total	totl
e	place	plac
e	end	nd
w	following	folloing
d	download	ownloa
i	him	hm
i	without	wthout
e	per	pr
a	access	ccess
t	think	hink
r	north	noth
e	resources	rsourcs
c	current	urrent
s	posts	pot
b	big	ig
m	media	edia
w	law	la
n	control	cotrol
r	water	wate
t	history	hisory
p	pictures	ictures
i	size	sze
a	art	rt
p	personal	ersonal
c	since	sine
d	including	incluing
e	guide	guid
s	shop	hop
i	directory	drectory
b	board	oard
n	location	locatio
c	change	hange
h	white	wite
e	text	txt
m	small	sall
g	rating	ratin
e	rate	rat
v	government	goernment
h	children	cildren
n	during	durig
u	usa	sa
r	return	etun
u	students	stdents
s	shopping	hopping
o	account	accunt
t	times	imes
t	sites	sies
v	level	leel
i	digital	dgtal
o	profile	prfile
u	previous	previos
r	form	fom
t	events	evens
l	love	ove
l	old	od
h	john	jon
n	main	mai
c	call	all
r	hours	hous
e	image	imag
e	department	dpartmnt
i	title	ttle
i	description	descrpton
n	non	o
u	insurance	insrance
t	another	anoher
w	why	hy
a	shall	shll
t	property	propery
s	class	cla
t	still	sill
y	money	mone
q	quality	uality
v	every	eery
s	listing	liting
e	content	contnt
y	country	countr
r	private	pivate
i	little	lttle
s	visit	viit
a	save	sve
o	tools	tls
w	low	lo
l	reply	repy
m	customer	custoer
r	december	decembe
m	compare	copare
e	movies	movis
c	include	inlude
l	college	coege
e	value	valu
a	article	rticle
y	york	ork
a	man	mn
a	card	crd
b	jobs	jos
o	provide	prvide
d	food	foo
s	source	ource
o	author	authr
d	different	ifferent
e	press	prss
r	learn	lean
a	sale	sle
d	around	aroun
p	print	rint
s	course	coure
o	job	jb
n	canada	caada
r	process	pocess
n	teen	tee
o	room	rm
k	stock	stoc
n	training	traiig
t	too	oo
r	credit	cedit
i	point	pont
o	join	jin
s	science	cience
e	men	mn
e	categories	catgoris
d	advanced	avance
w	west	est
s	sales	ale
l	look	ook
e	english	nglish
l	left	eft
m	team	tea
a	estate	estte
x	box	bo
c	conditions	onditions
l	select	seect
i	windows	wndows
p	photos	hotos
a	gay	gy
e	thread	thrad
w	week	eek
y	category	categor
o	note	nte
v	live	lie
e	large	larg
l	gallery	gaery
e	table	tabl
t	register	regiser
o	however	hwever
n	june	jue
r	october	octobe
e	november	novmbr
a	market	mrket
i	library	lbrary
r	really	eally
a	action	ction
r	start	stat
r	series	seies
m	model	odel
e	features	faturs
i	air	ar
n	industry	idustry
l	plan	pan
u	human	hman
v	provided	proided
s	yes	ye
e	required	rquird
n	second	secod
t	hot	ho
s	accessories	acceorie
c	cost	ost
m	movie	ovie
s	forums	forum
r	march	mach
t	september	sepember
r	better	bette
y	say	sa
s	questions	quetion
l	july	juy
h	yahoo	yaoo
o	going	ging
m	medical	edical
t	test	es
e	friend	frind
o	come	cme
d	dec	ec
r	server	seve
s	study	tudy
t	application	applicaion
a	cart	crt
a	staff	stff
t	articles	aricles
n	san	sa
c	feedback	feedbak
n	again	agai
y	play	pla
o	looking	lking
e	issues	issus
i	april	aprl
v	never	neer
s	users	uer
m	complete	coplete
r	street	steet
