input1	label
bdj	b d j
kbl	k b l
mln	m l n
lvqg	l v q g
vfdg	v f d g
npck	n p c k
rhj	r h j
qbs	q b s
gqp	g q p
wxnm	w x n m
grkv	g r k v
lcn	l c n
vcgp	v c g p
ncl	n c l
zqbg	z q b g
ltp	l t p
nhkq	n h k q
qmwj	q m w j
qcb	q c b
rxpdh	r x p d h
fqgv	f q g v
gpx	g p x
shvxfb	s h v x f b
tgdj	t g d j
vmx	v m x
jwc	j w c
nqs	n q s
vpnbq	v p n b q
ptvknfbsgdh	p t v k n f b s g d h
dvhq	d v h q
xqlf	x q l f
dtjr	d t j r
bph	b p h
fktp	f k t p
jtwgh	j t w g h
vztsk	v z t s k
dwrl	d w r l
fbh	f b h
mcs	m c s
zqg	z q g
jchmx	j c h m x
kfl	k f l
fwml	f w m l
qsp	q s p
gtxc	g t x c
zbdjwcf	z b d j w c f
wdjt	w d j t
zqhtncxk	z q h t n c x k
nsj	n s j
kgl	k g l
zjdp	z j d p
cqm	c q m
sbdg	s b d g
spn	s p n
nvpw	n v p w
nplhtj	n p l h t j
qshzv	q s h z v
rfvm	r f v m
hsjcp	h s j c p
hcg	h c g
fwjk	f w j k
ctpblsqd	c t p b l s q d
hgwf	h g w f
qgjch	q g j c h
tmlfb	t m l f b
cml	c m l
vkxj	v k x j
ltrqnpd	l t r q n p d
ldvc	l d v c
ckwg	c k w g
gvkwc	g v k w c
djlg	d j l g
mtbq	m t b q
qnp	q n p
xjbsvp	x j b s v p
crl	c r l
zkpd	z k p d
qfxh	q f x h
wtdp	w t d p
fvqs	f v q s
rzpvk	r z p v k
bhpj	b h p j
pmv	p m v
pzbf	p z b f
cmvkw	c m v k w
wbd	w b d
rkgwnc	r k g w n c
cxsgr	c x s g r
rmhw	r m h w
bwlk	b w l k
jqxm	j q x m
jlsz	j l s z
gtmz	g t m z
frbwjlkg	f r b w j l k g
rqdpl	r q d p l
cdk	c d k
bwxs	b w x s
stlr	s t l r
whgq	w h g q
khldbn	k h l d b n
bjtmxrf	b j t m x r f
gjwkdq	g j w k d q
kqmf	k q m f
djz	d j z
bzjv	b z j v
msj	m s j
nmgvfr	n m g v f r
bkvjzl	b k v j z l
gvlm	g v l m
blvrps	b l v r p s
bzfpwtngj	b z f p w t n g j
jnkhsrglb	j n k h s r g l b
pxqrdhm	p x q r d h m
vmdcqzj	v m d c q z j
dqvnm	d q v n m
szdc	s z d c
skghqtjd	s k g h q t j d
fsnc	f s n c
tsx	t s x
fqmp	f q m p
spvnl	s p v n l
fsxm	f s x m
zvkfh	z v k f h
mspf	m s p f
gklcnq	g k l c n q
wqvltp	w q v l t p
mnxgc	m n x g c
xtlf	x t l f
djmsbw	d j m s b w
qmdlcfn	q m d l c f n
dlfq	d l f q
xzfrj	x z f r j
bds	b d s
dgzpfm	d g z p f m
kqtvh	k q t v h
vcmzb	v c m z b
tdwn	t d w n
xzgrmtn	x z g r m t n
qkpl	q k p l
szwnp	s z w n p
lvnmdfb	l v n m d f b
qkxb	q k x b
hsvnj	h s v n j
shb	s h b
rwbz	r w b z
vhfl	v h f l
pqjw	p q j w
hlcg	h l c g
xtqd	x t q d
lnr	l n r
mwrpv	m w r p v
dcbhlxt	d c b h l x t
wmtvrpzl	w m t v r p z l
zmclfgxkpv	z m c l f g x k p v
knrgwcs	k n r g w c s
zlmk	z l m k
jpsf	j p s f
kbs	k b s
rqwbstk	r q w b s t k
vshlxqb	v s h l x q b
wlpv	w l p v
dzgb	d z g b
tgdcm	t g d c m
zmr	z m r
gmpt	g m p t
zfbdkpwvcx	z f b d k p w v c x
wjbn	w j b n
xqtfj	x q t f j
txlqc	t x l q c
fdzjwl	f d z j w l
zkhwp	z k h w p
ghjc	g h j c
tfsl	t f s l
smqdxlphvkftj	s m q d x l p h v k f t j
nqgczk	n q g c z k
ghsr	g h s r
jpfq	j p f q
prfnw	p r f n w
hlwrbm	h l w r b m
kfxjlzhr	k f x j l z h r
szkw	s z k w
jdkzrncwvbq	j d k z r n c w v b q
dpzqnh	d p z q n h
bjt	b j t
xknmhz	x k n m h z
fgdvlkh	f g d v l k h
plzr	p l z r
nzchr	n z c h r
xsvctf	x s v c t f
dxplsf	d x p l s f
crd	c r d
jvbh	j v b h
vwfxl	v w f x l
xnqr	x n q r
lgxfkmn	l g x f k m n
tmsrg	t m s r g
fwsmb	f w s m b
mtrqn	m t r q n
pknxmdv	p k n x m d v
bfmkvl	b f m k v l
srfkzmnvh	s r f k z m n v h
tkwgqmcl	t k w g q m c l
bpg	b p g
lbjpct	l b j p c t
xgzn	x g z n
hftlsc	h f t l s c
wcjmfsxg	w c j m f s x g
jsxnwvg	j s x n w v g
gqjfdwvxp	g q j f d w v x p
mfltgw	m f l t g w
dbsnhk	d b s n h k
czjv	c z j v
dbts	d b t s
rmnwq	r m n w q
gxt	g x t
xstcqpdl	x s t c q p d l
vzmjhtbf	v z m j h t b f
