input1	input2	input3	label
computers	The	The octopus smiled.	The computers octopus smiled.
posted	on	When she finished, she hung the collage on the wall.	When she finished, she hung the collage on posted the wall.
single	giggled	He squirmed and giggled, feeling so spoiled and loved.	He squirmed and giggled single, feeling so spoiled and loved.
that	for	They waited and waited for the car to come.	They waited and waited for that the car to come.
deals	He	He found a shiny medal!	He deals found a shiny medal!
thought	They	They wanted to surf, but they couldn't.	They thought wanted to surf, but they couldn't.
food	to	She wanted to go there and smell them.	She wanted to food go there and smell them.
book	This	This time he was going with his mum and dad.	This book time he was going with his mum and dad.
property	there	In this town, there was an old house.	In this town, there property was an old house.
these	off	She hit the rock and fell off the bike.	She hit the rock and fell off these the bike.
sure	But	But he couldn't make it work.	But sure he couldn't make it work.
feel	bathing	She thinks bathing is boring and cold and wet.	She thinks bathing feel is boring and cold and wet.
add	outside	They hear their dad's voice outside the door.	They hear their dad's voice outside add the door.
pages	what	But it does not do what they want.	But it does not do what pages they want.
turn	counting	The Cow started counting.	The Cow started counting turn.
schools	you'll	I think you'll love it, Lily.	I think you'll schools love it, Lily.
sell	away	Suddenly the butterfly fluttered away.	Suddenly the butterfly fluttered away sell.
start	was	Everyone in the family was very excited.	Everyone in the family was start very excited.
natural	wonderful	When she opened it, she saw a wonderful treasure inside!	When she opened it, she saw a wonderful natural treasure inside!
during	He	He helped Lila get what she wanted.	He during helped Lila get what she wanted.
error	soup	He tasted the soup and it was delicious!	He tasted the soup error and it was delicious!
different	old	The old man smiled and gave her a big hug.	The old different man smiled and gave her a big hug.
categories	it	She finally caught it!	She finally caught it categories!
children	yard	You will have your own rooms and a big yard.	You will have your own rooms and a big yard children.
using	teamwork	They were excited and proud of their teamwork.	They were excited and proud of their teamwork using.
sign	put	He put on his hat and coat and ran outside.	He put sign on his hat and coat and ran outside.
adult	friends	They are good friends.	They are good friends adult.
speed	found	Inside the box, Lily found a beautiful dress.	Inside the box, Lily found speed a beautiful dress.
five	fun	They have fun.	They have fun five.
bit	wanted	He wanted to help out.	He wanted bit to help out.
then	she	She wishes she did not have that idea.	She wishes she then did not have that idea.
financial	know	I know you love your castle.	I know financial you love your castle.
magazine	She	She hoped her dad did not see her.	She magazine hoped her dad did not see her.
magazine	park	It finds another child in the park.	It finds another child in the park magazine.
format	smiled	She smiled when she saw him.	She smiled format when she saw him.
want	named	Once there was a little boy named Robby.	Once there was a little boy named want Robby.
san	Once	Once upon a time, there was a girl.	Once san upon a time, there was a girl.
could	mom	She went to tell the news to her mom.	She went to tell the news to her mom could.
who	very	They were very happy with their work.	They were very who happy with their work.
journal	Bertha	Bertha was sad and cried.	Bertha journal was sad and cried.
area	be	You should not be here.	You should not be area here.
get	gone	But when she came back, the horse was gone!	But when she came back, the horse was gone get!
condition	red	She saw a big red spot on his hand.	She saw a big red condition spot on his hand.
january	worked	Every day they worked very hard in the fields.	Every day they worked january very hard in the fields.
golf	was	His name was Quick.	His name was golf Quick.
loss	of	She was proud of Lily for being smart and polite.	She was proud of loss Lily for being smart and polite.
business	sunflower	It was called a sunflower.	It was called a sunflower business.
questions	small	So they looked inside the small theater.	So they looked inside the small questions theater.
board	others	With the help of others, anything is possible!	With the help of others board, anything is possible!
centre	Lily's	It is Lily's mom.	It is Lily's centre mom.
said	She	She went to the park with her mom and dad.	She said went to the park with her mom and dad.
player	learned	Lily learned to be careful around sharp objects like needles.	Lily learned player to be careful around sharp objects like needles.
music	felt	Anna felt like crying.	Anna felt music like crying.
library	lion	Once upon a time, there was a furry lion.	Once upon a time, there was a furry lion library.
states	Lily	Lily and Ben were curious.	Lily states and Ben were curious.
top	her	He hugged her.	He hugged her top.
gifts	still	Maybe it is still on the road.	Maybe it is still gifts on the road.
means	to	Tom did not like to play or run.	Tom did not like to means play or run.
feb	carrots	Benny had a big opinion about carrots, he loved them!	Benny had a big opinion about carrots feb, he loved them!
education	He	He runs away with Lily.	He education runs away with Lily.
log	Ben	Ben does not listen.	Ben log does not listen.
view	Sophie's	But then, Sophie's dad came over to her.	But then, Sophie's view dad came over to her.
his	about	This is one of their favorite stories about Rudolph!	This is one of their favorite stories about his Rudolph!
black	girl	The little girl smiled.	The little girl black smiled.
shipping	skin	She loved the feeling of the rain on her skin.	She loved the feeling of the rain on her skin shipping.
live	listen	Tim learned to listen next time.	Tim learned to listen live next time.
powered	kitchen	She went to the kitchen and saw two cereals.	She went to the kitchen powered and saw two cereals.
kingdom	juice	Timmy loved to drink juice.	Timmy loved to drink juice kingdom.
men	nodded	The face smiled and nodded its head.	The face smiled and nodded men its head.
downloads	in	Tom and Lily are playing in the park.	Tom and Lily are playing in downloads the park.
problems	His	His dad laughed.	His problems dad laughed.
enough	ran	She fell when she ran from the dog.	She fell when she ran enough from the dog.
four	they	Together, they wove a beautiful rainbow pattern into the sky.	Together, they four wove a beautiful rainbow pattern into the sky.
group	two	One day, the two friends went to the opera.	One day, the two group friends went to the opera.
drug	were	Sparkles were shooting out from the town and everyone cheered.	Sparkles were drug shooting out from the town and everyone cheered.
design	loved	The prince was very kind and loved to help others.	The prince was very kind and loved design to help others.
schools	Lily	Anna and Ben and Lily listen to their mom.	Anna and Ben and Lily schools listen to their mom.
within	discovering	Mary took many steps forward, discovering new places and things.	Mary took many steps forward, discovering within new places and things.
tools	and	Ben felt sad and angry.	Ben felt sad and tools angry.
other	remembered	Jack always remembered.	Jack always remembered other.
third	proud	Finny was so proud of his find.	Finny was so proud third of his find.
every	the	They wanted to get out of the cave.	They wanted to get out of the every cave.
store	friends	Tim and Sam were friends.	Tim and Sam were friends store.
being	liked	He liked to be a knight and defend it.	He liked being to be a knight and defend it.
million	tried	He ran after Lily and tried to grab the net.	He ran after Lily and tried million to grab the net.
out	They	They were always encouraging each other.	They out were always encouraging each other.
community	hear	They hear a noise.	They hear community a noise.
standard	a	It is a dress.	It is a standard dress.
feedback	Her	Her grandma said, â€œItâ€™s my birthday party!	Her feedback grandma said, â €œItâ €™ s my birthday party!
love	behave	Jack felt sad because he knew he didn't behave well.	Jack felt sad because he knew he didn't behave love well.
did	Once	Once upon a time there was a lucky figure.	Once did upon a time there was a lucky figure.
usually	them	She showed them their room.	She showed them usually their room.
words	their	The girls were so proud of their work.	The girls were so proud of their words work.
comments	look	â€œLetâ€™s go and look at it,â€ said Mandy.	â €œLetâ €™ s go and look comments at it, â €said Mandy.
cell	looked	He shivered and quickly looked back.	He shivered and quickly looked cell back.
already	and	Jennifer calmed down and smiled.	Jennifer calmed down and already smiled.
schools	barber	He was a very bad barber.	He was a very bad barber schools.
europe	not	They do not want any gum.	They do not europe want any gum.
green	their	They want to have their own way.	They want to have their green own way.
red	Alex	Alex had never seen him from before.	Alex red had never seen him from before.
following	something	Suddenly, he noticed something shining in a nearby bush.	Suddenly, he noticed something following shining in a nearby bush.
rss	was	Once upon a time, there was a boy called John.	Once upon a time, there was rss a boy called John.
