input1	label
t h e	the
a n d	and
f o r	for
t h a t	that
t h i s	this
w i t h	with
y o u	you
n o t	not
a r e	are
f r o m	from
y o u r	your
a l l	all
h a v e	have
n e w	new
m o r e	more
w a s	was
w i l l	will
h o m e	home
c a n	can
a b o u t	about
p a g e	page
h a s	has
s e a r c h	search
f r e e	free
b u t	but
o u r	our
o n e	one
o t h e r	other
i n f o r m a t i o n	information
t i m e	time
t h e y	they
s i t e	site
m a y	may
w h a t	what
w h i c h	which
t h e i r	their
n e w s	news
o u t	out
u s e	use
a n y	any
t h e r e	there
s e e	see
o n l y	only
h i s	his
w h e n	when
c o n t a c t	contact
h e r e	here
b u s i n e s s	business
w h o	who
w e b	web
a l s o	also
n o w	now
h e l p	help
g e t	get
v i e w	view
o n l i n e	online
f i r s t	first
b e e n	been
w o u l d	would
h o w	how
w e r e	were
s e r v i c e s	services
s o m e	some
t h e s e	these
c l i c k	click
i t s	its
l i k e	like
s e r v i c e	service
t h a n	than
f i n d	find
p r i c e	price
d a t e	date
b a c k	back
t o p	top
p e o p l e	people
h a d	had
l i s t	list
n a m e	name
j u s t	just
o v e r	over
s t a t e	state
y e a r	year
d a y	day
i n t o	into
e m a i l	email
t w o	two
h e a l t h	health
w o r l d	world
n e x t	next
u s e d	used
w o r k	work
l a s t	last
m o s t	most
p r o d u c t s	products
m u s i c	music
b u y	buy
d a t a	data
m a k e	make
t h e m	them
s h o u l d	should
p r o d u c t	product
s y s t e m	system
p o s t	post
h e r	her
c i t y	city
a d d	add
p o l i c y	policy
n u m b e r	number
s u c h	such
p l e a s e	please
a v a i l a b l e	available
c o p y r i g h t	copyright
s u p p o r t	support
m e s s a g e	message
a f t e r	after
b e s t	best
s o f t w a r e	software
t h e n	then
j a n	jan
g o o d	good
v i d e o	video
w e l l	well
w h e r e	where
i n f o	info
r i g h t s	rights
p u b l i c	public
b o o k s	books
h i g h	high
s c h o o l	school
t h r o u g h	through
e a c h	each
l i n k s	links
s h e	she
r e v i e w	review
y e a r s	years
o r d e r	order
v e r y	very
p r i v a c y	privacy
b o o k	book
i t e m s	items
c o m p a n y	company
r e a d	read
g r o u p	group
s e x	sex
n e e d	need
m a n y	many
u s e r	user
s a i d	said
d o e s	does
s e t	set
u n d e r	under
g e n e r a l	general
r e s e a r c h	research
u n i v e r s i t y	university
j a n u a r y	january
m a i l	mail
f u l l	full
m a p	map
