input1	input2	input3	label
m	h	the	thme
t	d	and	andt
b	f	for	fbor
m	h	that	thmat
y	h	this	thyis
e	t	with	witeh
b	o	you	yobu
z	n	not	nzot
j	r	are	arje
i	f	from	firom
g	o	your	yogur
z	l	all	alzlz
w	v	have	havwe
a	w	new	newa
y	m	more	myore
c	s	was	wasc
v	l	will	wilvlv
u	o	home	houme
g	c	can	cgan
o	a	about	aobout
p	g	page	pagpe
s	a	has	hass
n	c	search	searcnh
w	f	free	fwree
f	u	but	buft
u	r	our	ouru
i	o	one	oine
v	o	other	ovther
w	r	information	inforwmation
f	m	time	timfe
q	t	they	tqhey
r	t	site	sitre
s	a	may	masy
o	w	what	wohat
x	h	which	whxichx
b	i	their	theibr
l	s	news	newsl
g	o	out	ogut
f	e	use	usef
g	y	any	anyg
g	t	there	tghere
s	s	see	ssee
o	n	only	onoly
i	h	his	hiis
v	n	when	whenv
z	c	contact	czontaczt
q	r	here	herqe
t	i	business	busitness
a	o	who	whoa
y	w	web	wyeb
x	o	also	alsox
k	n	now	nkow
x	l	help	helxp
f	e	get	geft
p	v	view	vpiew
q	e	online	onlineq
d	s	first	firsdt
p	b	been	bpeen
y	l	would	woulyd
x	o	how	hoxw
i	w	were	wiere
y	i	services	serviyces
u	o	some	soume
q	t	these	tqhese
n	i	click	clinck
l	s	its	itsl
r	e	like	liker
s	s	service	sservice
v	a	than	thavn
t	n	find	fintd
s	r	price	prsice
f	t	date	datfe
t	b	back	btack
n	p	top	topn
u	o	people	peouple
i	a	had	haid
l	l	list	llist
x	e	name	namex
l	j	just	jlust
i	r	over	overi
q	t	state	stqatqe
f	r	year	yearf
y	d	day	dyay
w	n	into	inwto
a	m	email	emaail
g	t	two	tgwo
i	t	health	healtih
p	d	world	worldp
r	n	next	nrext
u	s	used	usued
c	o	work	wocrk
h	a	last	lahst
b	s	most	mosbt
t	d	products	prodtucts
f	i	music	musifc
q	y	buy	buyq
c	a	data	dactac
y	k	make	makye
f	t	them	tfhem
j	d	should	shouldj
s	p	product	psroduct
h	t	system	systhem
v	o	post	povst
l	e	her	helr
o	c	city	coity
n	a	add	andd
a	l	policy	polaicy
e	r	number	numbere
z	h	such	suchz
m	p	please	pmlease
k	e	available	availablek
f	c	copyright	cfopyright
o	u	support	suopport
x	e	message	mexssagex
w	f	after	afwter
g	s	best	besgt
k	w	software	softwkare
j	e	then	thejn
c	a	jan	jacn
z	o	good	gozozd
c	e	video	videco
u	l	well	welulu
k	h	where	whkere
m	i	info	imnfo
u	t	rights	rightus
n	i	public	publinc
q	o	books	boqoqks
h	i	high	hihgh
r	h	school	schrool
m	u	through	throumgh
a	a	each	eaach
t	i	links	litnks
f	s	she	sfhe
d	w	review	reviewd
h	s	years	yearsh
x	o	order	oxrder
f	v	very	vfery
o	p	privacy	porivacy
y	o	book	boyoyk
i	m	items	itemis
t	o	company	cotmpany
v	e	read	revad
o	o	group	grooup
s	x	sex	sexs
q	e	need	neqeqd
u	n	many	manuy
w	e	user	usewr
n	a	said	sanid
a	e	does	doeas
v	e	set	sevt
q	n	under	unqder
f	n	general	genferal
a	s	research	resaearch
i	t	university	universitiy
q	n	january	janquary
i	m	mail	miail
z	u	full	fuzll
f	m	map	mfap
l	v	reviews	revliews
m	a	program	programm
x	f	life	lifxe
p	o	know	knopw
s	m	games	gamses
p	w	way	wpay
u	s	days	daysu
l	m	management	mlanagemlent
p	r	part	parpt
t	c	could	ctould
q	g	great	gqreat
g	t	united	unitged
c	e	hotel	hotecl
t	a	real	reatl
f	e	item	itefm
u	e	international	inteurnational
c	e	center	cecntecr
h	y	ebay	ebayh
m	s	must	musmt
n	o	store	stonre
k	r	travel	trkavel
v	m	comments	comvmvents
s	e	made	mades
f	m	development	developmfent
v	e	report	revport
t	f	off	oftft
p	b	member	membper
k	i	details	detaikls
z	e	line	linez
m	s	terms	termsm
k	b	before	bkefore
l	h	hotels	hlotels
w	d	did	dwidw
t	d	send	sendt
h	i	right	rihght
w	p	type	typwe
z	e	because	bezcausez
v	o	local	lovcal
d	t	those	tdhose
l	s	using	usling
y	r	results	ryesults
v	o	office	ovffice
l	u	education	edulcation
l	a	national	naltionall
y	c	car	cyar
t	g	design	desigtn
v	t	take	tvake
h	e	posted	postehd
e	i	internet	ienternet
s	d	address	adsdsress
x	c	community	cxommunity
q	t	within	witqhin
t	a	states	stattes
n	r	area	arnea
m	n	want	wanmt
o	p	phone	pohone
s	d	dvd	dsvds
d	n	shipping	shippindg
c	r	reserved	rcesercved
p	s	subject	spubject
j	t	between	betjween
d	f	forum	fdorum
c	m	family	famcily
x	n	long	lonxg
b	e	based	basebd
j	c	code	cjode
l	s	show	slhow
m	v	even	evmen
q	c	black	blacqk
s	c	check	cshecsk
i	l	special	speciali
l	s	prices	pricesl
o	e	website	weobsiteo
c	e	index	indecx
k	n	being	beinkg
i	w	women	wiomen
k	u	much	mukch
u	s	sign	suign
b	l	file	filbe
a	i	link	liank
y	e	open	opeyn
u	t	today	tuoday
g	o	technology	technogloggy
n	h	south	southn
f	s	case	casfe
v	c	project	projecvt
b	e	same	sameb
p	a	pages	papges
s	o	version	versiosn
m	s	section	smection
z	o	own	ozwn
f	o	found	fofund
x	t	sports	sportxs
b	o	house	hobuse
x	t	related	relatxed
k	c	security	seckurity
z	b	both	bzoth
j	o	county	cojunty
v	a	american	avmericavn
h	p	photo	phhoto
u	a	game	gaume
