input1	input2	label
smiled	The octopus smiled.	The octopus.
the	When she finished, she hung the collage on the wall.	When she finished, she hung collage on wall.
giggled	He squirmed and giggled, feeling so spoiled and loved.	He squirmed and, feeling so spoiled and loved.
waited	They waited and waited for the car to come.	They and for the car to come.
medal	He found a shiny medal!	He found a shiny!
They	They wanted to surf, but they couldn't.	wanted to surf, but they couldn't.
there	She wanted to go there and smell them.	She wanted to go and smell them.
with	This time he was going with his mum and dad.	This time he was going his mum and dad.
was	In this town, there was an old house.	In this town, there an old house.
rock	She hit the rock and fell off the bike.	She hit the and fell off the bike.
work	But he couldn't make it work.	But he couldn't make it.
cold	She thinks bathing is boring and cold and wet.	She thinks bathing is boring and and wet.
They	They hear their dad's voice outside the door.	hear their dad's voice outside the door.
what	But it does not do what they want.	But it does not do they want.
Cow	The Cow started counting.	The started counting.
I	I think you'll love it, Lily.	think you'll love it, Lily.
Suddenly	Suddenly the butterfly fluttered away.	the butterfly fluttered away.
was	Everyone in the family was very excited.	Everyone in the family very excited.
it	When she opened it, she saw a wonderful treasure inside!	When she opened, she saw a wonderful treasure inside!
what	He helped Lila get what she wanted.	He helped Lila get she wanted.
soup	He tasted the soup and it was delicious!	He tasted the and it was delicious!
gave	The old man smiled and gave her a big hug.	The old man smiled and her a big hug.
She	She finally caught it!	finally caught it!
a	You will have your own rooms and a big yard.	You will have your own rooms and big yard.
their	They were excited and proud of their teamwork.	They were excited and proud of teamwork.
and	He put on his hat and coat and ran outside.	He put on his hat coat ran outside.
are	They are good friends.	They good friends.
Lily	Inside the box, Lily found a beautiful dress.	Inside the box, found a beautiful dress.
fun	They have fun.	They have.
out	He wanted to help out.	He wanted to help.
she	She wishes she did not have that idea.	She wishes did not have that idea.
know	I know you love your castle.	I you love your castle.
see	She hoped her dad did not see her.	She hoped her dad did not her.
the	It finds another child in the park.	It finds another child in park.
smiled	She smiled when she saw him.	She when she saw him.
boy	Once there was a little boy named Robby.	Once there was a little named Robby.
a	Once upon a time, there was a girl.	Once upon time, there was girl.
mom	She went to tell the news to her mom.	She went to tell the news to her.
happy	They were very happy with their work.	They were very with their work.
and	Bertha was sad and cried.	Bertha was sad cried.
You	You should not be here.	should not be here.
the	But when she came back, the horse was gone!	But when she came back, horse was gone!
hand	She saw a big red spot on his hand.	She saw a big red spot on his.
the	Every day they worked very hard in the fields.	Every day they worked very hard in fields.
was	His name was Quick.	His name Quick.
being	She was proud of Lily for being smart and polite.	She was proud of Lily for smart and polite.
a	It was called a sunflower.	It was called sunflower.
small	So they looked inside the small theater.	So they looked inside the theater.
With	With the help of others, anything is possible!	the help of others, anything is possible!
Lily's	It is Lily's mom.	It is mom.
her	She went to the park with her mom and dad.	She went to the park with mom and dad.
needles	Lily learned to be careful around sharp objects like needles.	Lily learned to be careful around sharp objects like.
