input1	input2	input3	label
The	planning	The octopus smiled.	planning octopus smiled.
the	central	When she finished, she hung the collage on the wall.	When she finished, she hung central collage on central wall.
so	updated	He squirmed and giggled, feeling so spoiled and loved.	He squirmed and giggled, feeling updated spoiled and loved.
They	clear	They waited and waited for the car to come.	clear waited and waited for the car to come.
a	black	He found a shiny medal!	He found black shiny medal!
they	movies	They wanted to surf, but they couldn't.	They wanted to surf, but movies couldn't.
there	week	She wanted to go there and smell them.	She wanted to go week and smell them.
This	that	This time he was going with his mum and dad.	that time he was going with his mum and dad.
this	post	In this town, there was an old house.	In post town, there was an old house.
and	compare	She hit the rock and fell off the bike.	She hit the rock compare fell off the bike.
he	html	But he couldn't make it work.	But html couldn't make it work.
is	category	She thinks bathing is boring and cold and wet.	She thinks bathing category boring and cold and wet.
hear	golf	They hear their dad's voice outside the door.	They golf their dad's voice outside the door.
what	away	But it does not do what they want.	But it does not do away they want.
counting	system	The Cow started counting.	The Cow started system.
it	field	I think you'll love it, Lily.	I think you'll love field, Lily.
away	code	Suddenly the butterfly fluttered away.	Suddenly the butterfly fluttered code.
Everyone	test	Everyone in the family was very excited.	test in the family was very excited.
saw	video	When she opened it, she saw a wonderful treasure inside!	When she opened it, she video a wonderful treasure inside!
get	april	He helped Lila get what she wanted.	He helped Lila april what she wanted.
the	enter	He tasted the soup and it was delicious!	He tasted enter soup and it was delicious!
gave	has	The old man smiled and gave her a big hug.	The old man smiled and has her a big hug.
She	plan	She finally caught it!	plan finally caught it!
rooms	bank	You will have your own rooms and a big yard.	You will have your own bank and a big yard.
They	human	They were excited and proud of their teamwork.	human were excited and proud of their teamwork.
ran	terms	He put on his hat and coat and ran outside.	He put on his hat and coat and terms outside.
are	near	They are good friends.	They near good friends.
the	customers	Inside the box, Lily found a beautiful dress.	Inside customers box, Lily found a beautiful dress.
They	plus	They have fun.	plus have fun.
out	hours	He wanted to help out.	He wanted to help hours.
not	users	She wishes she did not have that idea.	She wishes she did users have that idea.
love	same	I know you love your castle.	I know you same your castle.
She	again	She hoped her dad did not see her.	again hoped her dad did not see her.
child	again	It finds another child in the park.	It finds another again in the park.
him	directory	She smiled when she saw him.	She smiled when she saw directory.
there	auto	Once there was a little boy named Robby.	Once auto was a little boy named Robby.
time	student	Once upon a time, there was a girl.	Once upon a student, there was a girl.
the	welcome	She went to tell the news to her mom.	She went to tell welcome news to her mom.
happy	blog	They were very happy with their work.	They were very blog with their work.
was	half	Bertha was sad and cried.	Bertha half sad and cried.
not	events	You should not be here.	You should events be here.
was	main	But when she came back, the horse was gone!	But when she came back, the horse main gone!
red	while	She saw a big red spot on his hand.	She saw a big while spot on his hand.
the	best	Every day they worked very hard in the fields.	Every day they worked very hard in best fields.
was	close	His name was Quick.	His name close Quick.
She	engineering	She was proud of Lily for being smart and polite.	engineering was proud of Lily for being smart and polite.
was	experience	It was called a sunflower.	It experience called a sunflower.
they	hot	So they looked inside the small theater.	So hot looked inside the small theater.
others	screen	With the help of others, anything is possible!	With the help of screen, anything is possible!
It	figure	It is Lily's mom.	figure is Lily's mom.
went	quick	She went to the park with her mom and dad.	She quick to the park with her mom and dad.
careful	later	Lily learned to be careful around sharp objects like needles.	Lily learned to be later around sharp objects like needles.
crying	file	Anna felt like crying.	Anna felt like file.
there	document	Once upon a time, there was a furry lion.	Once upon a time, document was a furry lion.
Ben	enough	Lily and Ben were curious.	Lily and enough were curious.
He	small	He hugged her.	small hugged her.
is	availability	Maybe it is still on the road.	Maybe it availability still on the road.
or	added	Tom did not like to play or run.	Tom did not like to play added run.
opinion	includes	Benny had a big opinion about carrots, he loved them!	Benny had a big includes about carrots, he loved them!
with	better	He runs away with Lily.	He runs away better Lily.
does	entertainment	Ben does not listen.	Ben entertainment not listen.
But	now	But then, Sophie's dad came over to her.	now then, Sophie's dad came over to her.
