input1	label
w p l	wpl
v w n	vwn
q n z	qnz
n f s b	nfsb
f r p b	frpb
z g m v	zgmv
k t l	ktl
s w d	swd
b s g	bsg
x j z q	xjzq
b k v f	bkvf
n m z	nmz
f m b g	fmbg
z m n	zmn
h s w b	hswb
n c g	ncg
z t v s	ztvs
s q x l	sqxl
s m w	smw
k j g p t	kjgpt
r s b f	rsbf
b g j	bgj
d t f j r w	dtfjrw
c b p l	cbpl
f q j	fqj
l x m	lxm
z s d	zsd
f g z w s	fgzws
g c f v z r w d b p t	gcfvzrwdbpt
p f t s	pfts
j s n r	jsnr
p c l k	pclk
w g t	wgt
r v c g	rvcg
l c x b t	lcxbt
f h c d v	fhcdv
p x k n	pxkn
r w t	rwt
q m d	qmd
h s b	hsb
l m t q j	lmtqj
v r n	vrn
r x q n	rxqn
s d g	sdg
b c j m	bcjm
h w p l x m r	hwplxmr
x p l c	xplc
h s t c z m j v	hstczmjv
z d l	zdl
v b n	vbn
h l p g	hlpg
m s q	msq
d w p b	dwpb
d g z	dgz
z f g x	zfgx
z g n t c l	zgntcl
s d t h f	sdthf
k r f q	krfq
t d l m g	tdlmg
t m b	tmb
r x l v	rxlv
m c g w n d s p	mcgwndsp
t b x r	tbxr
s b l m t	sblmt
c q n r w	cqnrw
m q n	mqn
f v j l	fvjl
n c k s z g p	nckszgp
n p f m	npfm
m v x b	mvxb
b f v x m	bfvxm
p l n b	plnb
q c w s	qcws
s z g	szg
j l w d f g	jlwdfg
m k n	mkn
h v g p	hvgp
s r j t	srjt
x c p g	xcpg
r f s d	rfsd
k h g f v	khgfv
w t g l	wtgl
g q f	gqf
g h w r	ghwr
m q f v x	mqfvx
x w p	xwp
k v b x z m	kvbxzm
m j d b k	mjdbk
k q t x	kqtx
w x n v	wxnv
l s j q	lsjq
l n d h	lndh
b c q h	bcqh
r k w x l n v b	rkwxlnvb
k s p g n	kspgn
m p v	mpv
w x j d	wxjd
d c n k	dcnk
x t b s	xtbs
v t n p w z	vtnpwz
w l c q j k r	wlcqjkr
b l x v p s	blxvps
v s q r	vsqr
p l h	plh
w h l f	whlf
q d l	qdl
z q b f r k	zqbfrk
w v f l h n	wvflhn
b f n q	bfnq
w n f k g d	wnfkgd
w h r g x c z b l	whrgxczbl
l z v t d k b n w	lzvtdkbnw
g j s k p t q	gjskptq
f q p m s h l	fqpmshl
p s f z q	psfzq
d h p m	dhpm
d v b t s c l p	dvbtsclp
r d z m	rdzm
c d j	cdj
r s q g	rsqg
d g f z n	dgfzn
r d j q	rdjq
h f v r t	hfvrt
q d g r	qdgr
b v n m z s	bvnmzs
x s f n c g	xsfncg
q z j b m	qzjbm
j c n r	jcnr
p l q d w x	plqdwx
s q p n m r z	sqpnmrz
p n r s	pnrs
j h r k l	jhrkl
w p d	wpd
p b h g r q	pbhgrq
v s c f t	vscft
f m q h w	fmqhw
c p x z	cpxz
j h b k q c z	jhbkqcz
s v g n	svgn
d h x z g	dhxzg
n f z q p r w	nfzqprw
s v j w	svjw
t d f z l	tdfzl
d t w	dtw
k x w h	kxwh
f t r n	ftrn
g s l x	gslx
t n m b	tnmb
j c s p	jcsp
n z k	nzk
q x k g f	qxkgf
p m w t n j c	pmwtnjc
x q c f k g h n	xqcfkghn
h q m n r b j v g f	hqmnrbjvgf
v z k b x m d	vzkbxmd
h n q v	hnqv
l g d r	lgdr
v w d	vwd
k s x w d c v	ksxwdcv
f d t n j s w	fdtnjsw
x n g f	xngf
p h b w	phbw
c b p m q	cbpmq
h q k	hqk
b q g c	bqgc
h r w p v g x f m j	hrwpvgxfmj
x l w z	xlwz
j s c r l	jscrl
c j n s m	cjnsm
r p h l x n	rphlxn
h v t x g	hvtxg
b t l m	btlm
c r d n	crdn
d q s p j n g t f v r c l	dqspjngtfvrcl
z s b m h v	zsbmhv
b t d k	btdk
l g r s	lgrs
g k r z x	gkrzx
t n x k w q	tnxkwq
v r j l n h t k	vrjlnhtk
d h v x	dhvx
l p v h k z m x f w s	lpvhkzmxfws
p g h s z t	pghszt
w l c	wlc
j v z q t h	jvzqth
r b p f n v t	rbpfnvt
g n h k	gnhk
z h m t k	zhmtk
j d f m c r	jdfmcr
p j g n d r	pjgndr
m k p	mkp
l f w t	lfwt
f x r j n	fxrjn
j z s k	jzsk
n b j r v q z	nbjrvqz
c q d k b	cqdkb
r x d q w	rxdqw
q c k s z	qcksz
g v z j q p f	gvzjqpf
w r q v f n	wrqvfn
d k r v h q z f t	dkrvhqzft
c v x b s q m n	cvxbsqmn
w g b	wgb
n w l g m c	nwlgmc
j b h z	jbhz
t r c n d m	trcndm
x m l q r d j b	xmlqrdjb
l d j z x f b	ldjzxfb
b s l r p x f j g	bslrpxfjg
q r n c b x	qrncbx
p w d z t v	pwdztv
m h l f	mhlf
p w c d	pwcd
k q z x s	kqzxs
b j c	bjc
j d c m s g p n	jdcmsgpn
f h q l t c w r	fhqltcwr
w d l v s c q	wdlvscq
q h j k r s v	qhjkrsv
w b t v z	wbtvz
d n k x v z	dnkxvz
x m t l	xmtl
h w f x r	hwfxr
l d t z	ldtz
t x n g	txng
k b w t	kbwt
g f b j r	gfbjr
c q b d l	cqbdl
x q r m n b z	xqrmnbz
b v w p c d	bvwpcd
q x l h z c d	qxlhzcd
v t g s p	vtgsp
t c k x s	tckxs
c x f k w	cxfkw
p t n m	ptnm
d p t m	dptm
m k z b	mkzb
b g p q	bgpq
d k q w	dkqw
r h l p j	rhlpj
d r k c g b m h x j	drkcgbmhxj
d j x t c	djxtc
p s h j	pshj
h k f g c j l	hkfgcjl
p w t m	pwtm
p r b s n	prbsn
d t g w k m v	dtgwkmv
w l h r q n k	wlhrqnk
t b d	tbd
w v k q l	wvkql
s x r m d l	sxrmdl
g f m v l	gfmvl
b d z w q k m	bdzwqkm
t p q m w x k z	tpqmwxkz
l c q m	lcqm
l k z w c v	lkzwcv
x s z c t f w q	xszctfwq
b t x k h	btxkh
q h m z	qhmz
l x c k z h w	lxckzhw
b s g h j	bsghj
h k c b q	hkcbq
v m l s	vmls
k b d s f g n	kbdsfgn
r x h b	rxhb
w k r f q c d s	wkrfqcds
q d b g l k m	qdbglkm
l n w z c	lnwzc
r s p l h	rsplh
r t n h p	rtnhp
c d h	cdh
t g w s r l h d c	tgwsrlhdc
d c w z b j m t	dcwzbjmt
v s l	vsl
m w t d f p h	mwtdfph
s b r	sbr
f v l q n d	fvlqnd
d w b c q	dwbcq
c z x j b	czxjb
d v w l j f b q c	dvwljfbqc
c j r x z h g	cjrxzhg
h r q w d	hrqwd
c x d	cxd
w c q d k	wcqdk
b k d	bkd
l z f q k b w	lzfqkbw
w d p m b	wdpmb
j q r k g t v	jqrkgtv
